AÑO ESTRENO;PELÍCULA ;GÉNERO;SUBGÉNERO ;DIRECTOR;ACTOR PRINCIPAL;PRODUCTORA/ESTUDIO;RECAUDACIÓN DOMÉSTICA;RECAUDACIÓN INTERNACIONAL;LUGAR
2025;One Battle After Another;Thriller;Acción;Paul Thomas Anderson;Leonardo DiCaprio;Warner Bros.;$72.918.884;$140.000.000;Ganadora
2025;Sinners;Terror;Thriller;Ryan Coogler;Michael B. Jordan;Universal Pictures;$279.989.632;$90.244.069;Nominada
2025;Sentimental Value;Drama;Drama familiar;Joachim Trier;Gustav Borg;Neon;$5.338.580;$17.991.384;Nominada
2025;Marty Supreme;Drama;Thriller;Josh Safdie;Timotheé Chalamet;A24;$96.020.307;$83.915.420;Nominada
2025;Frankestein;Terror ;Gótico  ;Guillermo del Toro;Oscar Isaac;Netflix;;$144.496;Nominada
2025;Hamnet;Drama;Historico;Chloé Zhao;Jessie Buckley;Focus Features;$24.208.900;$82.098.067;Nominada
2025;F1: The Movie;Drama;Deportivo;Joseph Kosinski;Brad Pitt;Apple Studios;$189.642.436;$444.400.000;Nominada
2025;Bugonia;Ciencia Ficción;Sátira;Yorgos Lanthimos;Emma Stone;CJ Entertainment;$17.692.390;$25.822.522;Nominada
2025;Secret Agent;Thriller;Espionaje;Kleber Mendonça Filho;Wagner Moura;Neon;$4.282.051;$14.911.665;Nominada
2025;Train Dreams;Drama;Histórico;Clint Bentley;Joel Edgerton;Netflix;;;Nominada
2024;Anora;Drama;Comedia;Sean Baker;Mikey Madison;Neon;$20.474.295;$36.921.317;Ganadora
2024;The Brutalist;Drama;Histórico;Brady Corbet;Andrien Brody;A24;$16.279.129;$34.170.991;Nominada
2024;A Complete Unknown;Drama;Biográfico;James Mangold;Timotheé Chalamet;Searchlight Pictures;$75.001.720;$65.506.932;Nominada
2024;Conclave;Drama;Religioso;Edward Berger;Ralph Fiennes;Focus Features;$32.580.655;$95.267.603;Nominada
2024;Dune: Part Two;Ciencia ficción;Aventura;Denis Villeneuve;Timotheé Chalamet;Warner Bros.;$282.144.358;$432.700.000;Nominada
2024;Emilia Pérez;Drama;Musical;Jacques Audiard;Karla Sofía Gascón;Netflix;$0;$16.317.120;Nominada
2024;I´m Still Here;Drama;Biográfico;Walter Salles;Fernanda Torres;Sony Pictures Classics;$6.233.517;$30.192.117;Nominada
2024;Nickel Boys;Drama;Historico;RaMell Ross;Ethan Herisse;Amazon MGM Studios;$2.858.346;$158.034;Nominada
2024;The Substance;Terror ;Ciencia Ficción;Coralie Fargeat;Demi Moore;Mubi;$17.584.795;$59.732.017;Nominada
2024;Wicked;fantasia;Musical;Jon M. Chu;Cynthia Erivo;Universal Pictures;$474.983.975;$283.806.082;Nominada
2023;Oppenheimer;Drama;Biografico;Christopher Nolan;Cillian Murphy;Universal Pictures;$330.078.895;$645.732.438;Ganadora
2023;American Fiction;Comedia;Sátira social;Cord Jefferson;Jeffrey Wright;Amazon MGM Studios;$21.098.470;$1.384.900;Nominada
2023;Anatomy Of a Fall;Drama;Judicial;Justine Triet;Sandra Huller;Neon;$5.076.369;$30.970.358;Nominada
